model_slug,model,quantisation,bits_per_weight,weights_gb,kv_cache_gb,runtime_overhead_gb,total_gb,context
mixtral-8x7b,Mixtral 8x7B,q4-k-m,4.5,24.466,1,0.8,26.266,8192
mixtral-8x7b,Mixtral 8x7B,q3-k-m,3.9,21.204,1,0.8,23.004,8192
llama-3-3-70b,Llama 3.3 70B,fp16,16,131.414,2.5,0.8,134.714,8192
llama-3-3-70b,Llama 3.3 70B,q8-0,8.5,69.814,2.5,0.8,73.114,8192
llama-3-3-70b,Llama 3.3 70B,q6-k,6.6,54.208,2.5,0.8,57.508,8192
llama-3-3-70b,Llama 3.3 70B,q5-k-m,5.5,45.174,2.5,0.8,48.474,8192
llama-3-3-70b,Llama 3.3 70B,q4-k-m,4.5,36.96,2.5,0.8,40.26,8192
llama-3-3-70b,Llama 3.3 70B,q3-k-m,3.9,32.032,2.5,0.8,35.332,8192
qwen2-5-72b,Qwen2.5 72B,fp16,16,135.422,2.5,0.8,138.722,8192
qwen2-5-72b,Qwen2.5 72B,q8-0,8.5,71.943,2.5,0.8,75.243,8192
qwen2-5-72b,Qwen2.5 72B,q6-k,6.6,55.862,2.5,0.8,59.162,8192
qwen2-5-72b,Qwen2.5 72B,q5-k-m,5.5,46.551,2.5,0.8,49.851,8192
qwen2-5-72b,Qwen2.5 72B,q4-k-m,4.5,38.087,2.5,0.8,41.387,8192
qwen2-5-72b,Qwen2.5 72B,q3-k-m,3.9,33.009,2.5,0.8,36.309,8192
qwen3-235b-a22b,Qwen3 235B-A22B,fp16,16,437.895,1.469,0.8,440.163,8192
qwen3-235b-a22b,Qwen3 235B-A22B,q8-0,8.5,232.631,1.469,0.8,234.9,8192
qwen3-235b-a22b,Qwen3 235B-A22B,q6-k,6.6,180.631,1.469,0.8,182.9,8192
qwen3-235b-a22b,Qwen3 235B-A22B,q5-k-m,5.5,150.526,1.469,0.8,152.795,8192
qwen3-235b-a22b,Qwen3 235B-A22B,q4-k-m,4.5,123.158,1.469,0.8,125.427,8192
qwen3-235b-a22b,Qwen3 235B-A22B,q3-k-m,3.9,106.737,1.469,0.8,109.006,8192
